lat,lon,depth
35.95121,100.29846,32
35.95113,100.29842,12
35.95107,100.29837,4
35.95105,100.29848,12
35.95101,100.29856,16
35.95098,100.29864,26
35.95092,100.29857,10
35.95093,100.29868,17
35.95098,100.29886,42
35.95085,100.29863,11
35.95077,100.29867,6
35.95073,100.29877,13
35.95067,100.29889,19
35.95057,100.29886,5
35.95062,100.29895,23
35.95057,100.29906,37
35.95054,100.29912,37
35.95047,100.299,9
35.95041,100.2991,14
35.95031,100.29923,18
35.9502,100.29937,21
35.95007,100.29953,19
35.94997,100.29966,22
35.94985,100.29982,11
35.94969,100.30001,12
35.94957,100.3001,14
35.94943,100.30023,3
35.94946,100.30038,6
35.94936,100.30055,3
35.94961,100.30029,12
35.94975,100.30016,12
35.9499,100.30001,9
35.95007,100.29985,18
35.95024,100.29965,25
35.9504,100.29947,25
35.95061,100.29922,26
35.95076,100.29935,6
35.95062,100.29946,8
35.95052,100.29963,7
35.9504,100.29977,10
35.95028,100.29992,9
35.9501,100.30007,11
35.95,100.30026,11
35.94985,100.30041,0
35.9495,100.30001,7
35.9495,100.30001,7
35.94944,100.29992,0
35.94952,100.29993,0
35.94954,100.29989,0
35.94967,100.29984,8
35.94965,100.29976,0
35.94978,100.29974,6
35.94977,100.29968,0
35.94989,100.29961,12
35.95003,100.2994,0
35.95006,100.29942,6
35.95019,100.29926,6
35.95021,100.29916,0
35.95039,100.299,0
35.95073,100.2991,25
35.95086,100.29923,12
35.95098,100.29908,19
35.9511,100.29891,33
35.95127,100.29872,40
35.95141,100.29869,26
35.95151,100.29867,37
35.95147,100.29875,46
35.95154,100.29887,0
35.9514,100.29898,0
35.95132,100.29887,16
35.95128,100.29895,7
35.95115,100.29899,17
35.95108,100.29909,8
35.95115,100.29918,9
35.95122,100.29923,0
35.95097,100.29943,0
35.95097,100.29931,8
35.95083,100.29939,0
35.95072,100.29958,11
35.95059,100.29968,16
35.95062,100.29988,0
35.95044,100.29986,8
35.95033,100.29999,9
35.95028,100.30021,6
35.9503,100.30026,0
35.9501,100.30026,11
35.95004,100.30039,8
35.95002,100.30056,0
35.95122,100.29847,37
