channel,season,sst,pH,salinity,do,chl,po4,nitrate
Pemba,Dry,28.2,8.04,35,5.86,0.001,0.836,0.462
Zanzibar,Wet,28,8.09,35,6.01,0.531,0.42,0.501
Pemba,Wet,27.6,7.98,34,6.98,0.921,0.166,0.574
Zanzibar,Wet,27.8,8.1,35,6.26,0.199,0.443,0.391
Pemba,Dry,28.6,7.94,34.8,5.2,0.001,0.767,0.511
Zanzibar,Wet,28,8.04,34,6.26,1.126,0.397,0.623
Pemba,Dry,28.5,8.04,34,6.2,0.001,0.767,0.694
Pemba,Dry,28,8.03,35,5.3,0.001,0.698,0.464
Zanzibar,Wet,28,8.05,34.8,6,0.026,0.065,0.55
Pemba,Wet,28.9,8.06,34.5,5.34,0.062,0.305,0.317
